"emp_no","salary"
12883,53310
12886,94499
12887,40000
12888,41673
12898,70015
12914,40000
12916,49955
12917,45675
12918,40000
12926,68314
12934,47274
12947,40000
12950,41670
12953,47933
12954,59117
12955,94869
12956,40000
12961,47164
12969,59876
12978,40000
12981,40000
12987,56823
12991,53532
12992,40000
13000,40000
13004,40000
13006,55773
13010,41897
13013,40000
13016,40000
13018,73043
13019,53732
13021,45553
13028,47096
13030,51770
13036,56680
13037,55957
13038,40000
13039,55383
13043,99378
13044,61054
13052,42693
13058,44908
13060,40000
13061,40000
13065,58147
13070,55500
13071,40000
13074,40000
13075,40000
13079,40328
13086,40000
13090,46271
13092,74477
13098,57453
13103,40000
13120,65786
13122,40000
13128,53027
13132,47419
13136,47431
13137,51693
13141,49600
13146,61398
13152,40314
13156,48285
13159,54536
13161,49733
13175,65572
13176,77759
13177,45517
13182,46832
13183,40000
13186,93138
13192,43986
13193,40000
13214,47746
13218,40000
13219,40000
13222,40000
13223,80125
13228,40000
13233,49414
13234,40000
13235,57427
13238,40000
13242,40000
13243,67269
13251,60472
13253,66462
13257,55028
13262,59181
13266,40000
13268,77259
13269,40000
13270,40000
13272,40000
13279,40000
13280,40000
13284,45690
13292,56321
13293,78361
13306,58350
13312,53718
13316,44152
13318,48940
13320,47422
13325,40000
13328,40000
13329,96912
13331,53135
13336,40000
13339,81645
13340,50911
13345,81471
13350,49779
13351,43830
13356,67569
13363,42226
13364,81665
13369,40000
13371,40000
13374,40000
13376,40000
13377,46440
13379,52620
13384,71462
13385,40000
13392,69221
13394,44631
13398,40000
13399,40000
13401,79455
13405,60799
13406,40000
13410,55898
13415,61838
13417,53074
13419,75278
13420,57397
13428,77663
13434,40000
13435,42558
13444,44146
13449,73033
13450,40000
13458,41375
13460,40000
13463,40000
13465,49821
13466,74252
13473,75948
13482,40000
13490,76966
13505,46130
13507,72447
13513,72021
13514,40000
13516,72230
13519,78159
13520,46435
13521,40000
13528,89986
13534,47121
13539,54246
13540,82488
13552,73346
13556,48557
13558,52165
13559,84758
13562,40000
13563,59762
13564,87914
13565,46910
13566,53645
13568,43859
13573,40000
13580,53632
13588,78887
13591,40000
13592,43238
13593,50366
13597,41393
13603,45209
13609,68620
13613,40000
13616,40000
13617,40000
13619,40000
13622,63460
13635,44265
13637,40000
13639,40000
13644,56903
13645,51192
13653,53242
13655,40000
13661,82323
13662,66158
13663,40000
13669,70008
13670,40000
13672,86086
13675,57204
13676,63332
13688,40000
13690,40602
13692,62495
13693,40000
13695,57606
13697,40000
13704,40000
13705,40000
13706,48559
13707,55293
13711,40000
13715,79848
13716,40000
13723,56100
13727,50798
13731,40745
13734,46498
13737,49568
13740,40000
13741,44546
13742,65040
13749,44870
13751,86183
13753,40000
13755,64334
13764,61273
13765,40461
13771,40000
13772,57288
13779,40000
13783,60276
13784,81705
13786,74494
13789,72188
13792,59127
13794,40000
13797,54537
13800,40000
13801,64182
13806,46387
13808,72103
13809,43735
13815,40000
13817,40000
13825,54704
13827,52285
13830,65480
13833,60015
13836,60294
13837,69700
13838,40000
13839,40000
13858,53425
13862,40872
13866,78575
13871,70333
13875,40000
13878,58776
13883,40000
13887,62153
13892,42781
13905,68675
13911,64188
13914,41526
13924,40000
13926,60367
13927,43551
13931,61524
13936,47292
13937,40000
13940,40000
13943,87119
13946,52426
13970,73416
13971,41054
13972,49895
13973,44579
13977,40000
13990,52723
13991,40000
13992,81318
14002,43003
14016,52307
14017,42371
14022,47920
14025,60898
14036,59314
14038,62982
14051,40000
14065,56356
14069,40000
14071,73549
14072,40000
14078,40000
14081,52258
14082,83256
14089,49411
14094,74193
14095,60868
14097,70604
14102,48200
14103,41404
14104,40327
14109,61804
14110,74484
14114,51041
14120,40551
14121,60578
14122,62343
14123,40000
14130,40000
14140,64727
14150,40000
14151,40000
14154,70040
14156,67458
14158,67559
14159,64495
14183,56157
14186,70244
14188,40000
14189,71824
14214,49797
14216,40000
14217,40000
14226,57602
14232,50568
14233,40000
14234,59812
14236,40000
14239,57965
14249,47635
14250,40000
14254,50266
14255,51038
14264,63835
14265,41336
14266,40000
14267,40000
14278,40000
14281,47391
14283,73158
14284,63574
14285,53317
14289,60863
14290,78736
14291,48149
14314,64049
14329,46371
14336,62352
14341,48692
14343,70096
14356,40000
14359,40000
14361,40000
14364,56970
14366,70288
14388,52022
14395,58898
14398,41978
14400,48377
14401,40000
14411,58151
14415,40000
14419,40000
14420,40000
14423,42804
14425,48818
14429,48958
14434,40000
14437,43707
14439,80654
14442,76623
14446,66639
14447,40000
14453,40000
14454,74305
14460,56267
14464,54508
14466,72672
14467,40000
14469,40000
14476,72512
14485,40000
14488,51847
14489,77126
14490,60770
14492,40000
14495,40000
14497,55199
14498,40000
14502,54596
14503,45250
14521,45095
14529,67393
14532,52081
14533,48376
14544,104153
14551,83296
14553,66099
14564,62163
14566,40000
14567,40000
14572,40000
14576,48621
14579,40000
14582,40000
14584,43480
14586,58409
14588,40000
14590,73239
14600,41352
14601,40000
14602,78092
14606,40000
14610,85426
14614,75805
14616,50617
14617,40000
14618,97578
14619,69713
14621,66404
14633,61842
14637,59701
14639,79405
14640,42662
14644,68552
14655,65742
14657,53906
14658,61961
14664,40000
14679,58585
14680,40000
14682,40000
14685,78005
14696,40000
14700,47864
14702,48811
14704,41795
14706,43497
14708,57448
14715,56707
14718,40000
14719,52131
14720,40000
14723,40000
14732,52144
14733,59021
14734,40000
14735,65394
14736,80477
14737,89983
14739,40000
14746,46307
14747,75144
14748,62279
14749,51110
14751,42780
14763,40000
14768,66076
14775,62774
14788,40000
14790,59672
14791,40000
14792,46623
14798,40000
14800,40000
14803,40000
14805,93084
14808,40000
14812,51526
14814,40000
14815,40000
14823,61726
14824,41128
14829,52630
14838,55729
14840,65134
14841,63692
14843,40152
14844,56196
14846,40002
14851,42324
14854,48875
14859,40000
14860,58792
14861,40000
14866,48691
14869,40000
14882,73282
14889,52734
14890,79206
14891,78173
14896,43296
14897,41853
14902,40000
14910,53832
14913,49169
14914,40000
14915,40733
14916,45078
14920,40000
14922,49230
14927,40588
14929,53241
14930,42712
14932,49872
14936,40000
14945,45848
14951,48113
14952,45208
14965,40000
14966,80123
14969,88575
14971,55187
14973,63316
14974,44559
14975,60032
14979,80424
14981,51542
14983,86754
14984,40000
14985,63747
14987,40719
14996,40000
14998,40000
15000,52243
15006,53845
15012,40000
15017,40000
15020,53211
15021,42015
15023,51362
15026,40000
15027,40000
15043,104525
15044,46042
15047,66173
15049,40000
15051,40000
15063,42399
15064,83820
15072,69019
15075,40000
15076,54929
15081,40000
15082,63024
15089,48594
15090,61094
15098,42629
15104,40000
15109,68320
15112,44588
15113,62081
15114,40000
15121,47736
15127,84359
15129,40000
15135,52651
15138,60586
15147,52179
15148,40000
15153,40000
15156,61128
15160,40000
15169,64912
15177,40000
15178,44701
15180,63729
15182,40000
15185,48898
15186,75764
15187,43249
15191,40000
15192,40000
15193,47039
15197,40000
15201,40000
15204,40000
15205,43795
15207,44839
15208,44109
15210,74726
15212,46147
15224,54629
15225,40000
15227,72041
15236,40000
15237,40000
15238,74949
15239,40000
15245,40000
15249,40000
15250,60152
15252,51572
15259,40000
15263,72318
15272,40000
15274,40000
15283,50063
15285,40000
15294,40000
15295,54607
15297,53048
15298,43452
15306,51139
15314,47317
15315,48786
15316,56080
15319,40000
15321,40000
15324,40000
15329,41839
15330,53020
15331,78519
15336,62444
15338,40387
15342,58617
15347,69485
15348,40000
15350,50037
15355,57428
15359,85086
15365,41309
15368,44844
15369,81954
15370,67631
15371,94288
15373,61647
15376,40000
15377,50274
15382,66083
15385,40000
15399,40000
15405,40000
15410,58123
15411,40000
15415,75844
15417,40727
15421,40000
15422,64396
15424,40000
15430,47875
15431,53873
15436,53575
15437,46280
15443,40000
15452,40000
15456,54161
15461,54875
15469,71346
15470,40693
15474,90430
15475,40000
15479,40000
15481,73147
15483,40000
15488,40356
15492,49363
15501,72018
15512,59369
15514,44940
15516,40000
15522,40000
15524,40000
15528,40000
15529,40000
15532,53298
15537,40000
15538,40000
15539,47803
15540,40000
15551,42786
15556,67576
15557,58717
15559,46835
15561,56591
15564,48503
15576,40000
15579,40000
15583,85961
15587,69785
15588,40000
15597,73349
15599,63466
15602,51493
15605,40000
15609,53429
15613,44130
15628,47624
15631,40000
15637,73742
15645,54656
15647,45754
15650,45913
15651,50313
15652,40000
15653,54720
15661,40000
15662,40000
15663,47901
15667,78633
15668,40000
15676,42021
15678,68434
15681,65181
15683,60987
15684,40000
15690,64224
15691,40000
15702,73469
15706,46289
15707,51665
15712,40000
15718,65433
15728,40000
15736,75703
15737,42016
15738,41147
15739,54605
15744,41115
15751,40000
15756,66148
15766,47626
15775,61783
15784,91923
15785,40000
15790,77274
15794,42356
15795,56385
15803,52590
15806,52327
15807,44812
15813,52546
15817,51665
15819,63847
15824,40000
15828,40000
15829,55427
15833,59841
15834,47525
15844,51879
15845,46552
15847,40000
15848,40000
15852,40000
15853,73958
15855,40000
15861,50890
15865,40000
15872,48062
15873,61744
15874,40000
15878,67784
15884,40000
15887,48518
15891,40000
15897,47486
15900,56675
15901,40000
15906,70327
15913,58912
15914,40000
15915,40000
15919,44043
15921,69675
15923,57215
15926,40000
15928,40000
15936,64177
15944,45281
15945,57717
15946,70769
15947,40000
15952,43883
15957,46155
15958,86432
15965,72860
15967,74527
15968,43672
15971,42963
15972,40000
15973,40000
15974,40000
15981,40000
15985,48286
15988,40000
15991,70319
15996,57243
15997,40000
16000,40000
16001,47511
16002,58891
16005,69484
16016,40000
16021,66488
16023,48282
16026,40000
16027,64292
16028,53714
16029,52866
16034,70759
16035,49064
16037,62211
16041,51503
16042,40000
16050,70164
16052,40000
16055,40000
16065,40000
16068,53031
16086,42903
16087,57258
16089,65433
16096,41514
16110,43903
16118,40000
16120,80251
16125,40000
16128,40000
16130,40000
16131,62679
16132,40000
16136,69160
16149,55398
16150,66728
16151,40000
16152,56985
16153,51807
16169,44060
16178,41894
16183,43274
16196,54276
16199,52274
16200,40000
16208,44544
16213,59276
16214,44729
16218,40000
16225,100599
16231,59383
16232,40000
16234,40000
16241,42567
16243,51278
16245,56536
16248,42179
16259,61899
16270,71078
16271,41914
16272,40000
16274,65521
16284,46047
16292,59402
16296,59554
16301,50704
16302,40000
16306,40000
16310,70890
16311,40000
16312,75357
16313,40935
16314,56634
16325,52886
16326,40000
16338,72675
16342,40000
16350,74381
16354,56757
16355,80403
16357,57128
16359,68147
16361,40000
16363,40000
16364,73503
16370,57425
16372,83610
16375,77427
16381,71792
16384,44031
16385,40000
16392,41016
16397,66757
16402,57496
16408,40000
16414,45768
16415,61617
16421,58684
16423,75404
16424,68849
16430,40000
16433,40000
16435,102939
16438,52449
16440,40000
16442,52237
16445,40000
16447,40000
16448,76979
16452,43944
16457,56830
16463,72579
16467,40000
16475,44703
16481,63974
16482,40000
16486,57496
16491,40000
16493,47636
16497,74475
16504,40000
16509,54275
16514,43183
16519,43713
16525,54097
16526,40000
16530,40000
16531,45838
16532,48795
16538,86259
16539,40000
16541,40000
16542,61684
16548,40000
16556,53954
16560,68362
16561,40000
16564,61925
16566,40000
16577,55076
16578,40000
16583,79770
16584,46331
16586,40000
16589,40000
16590,69907
16595,53968
16601,43188
16608,40000
16612,40000
16614,40000
16622,40000
16623,40000
16625,75093
16633,60062
16635,57905
16639,45049
16648,65900
16654,78608
16664,73854
16666,40000
16667,63896
16669,52669
16685,53276
16687,40000
16695,63658
16696,40224
16700,65962
16703,40000
16716,54270
16717,54255
16719,40000
16722,56854
16723,56932
16734,71996
16735,76128
16737,42808
16740,64251
16741,44142
16748,40000
16750,66688
16752,57981
16760,65227
16761,40000
16762,40000
16763,52975
16767,50238
16770,40180
16775,42681
16776,40000
16777,40000
16783,40000
16784,59642
16787,40000
16789,88972
16790,44183
16792,40000
16793,46081
16795,40560
16814,50481
16815,40000
16816,40000
16817,40000
16832,51405
16835,48886
16837,60782
16839,40000
16845,40000
16847,40000
16848,89620
16849,40000
16858,67670
16866,92904
16869,40000
16881,40000
16886,74790
16890,69639
16894,40000
16895,41387
16899,49007
16905,45777
16911,40000
16912,53987
16915,57109
16917,51984
16927,54655
16928,70426
16929,52679
16932,58386
16935,64001
16936,92101
16950,40540
16951,63571
16954,47943
16962,83797
16963,40629
16967,40000
16970,76341
16971,40000
16973,65320
16974,64685
16976,40000
16977,51876
16994,40000
16996,77644
16997,63760
17000,54160
17006,93886
17008,45350
17009,75597
17014,53876
17016,40000
17025,40000
17032,43034
17035,52470
17046,44955
17049,40299
17050,40000
17052,60109
17053,41697
17060,58577
17067,40000
17071,40000
17075,40000
17077,72912
17089,67779
17092,40000
17094,58721
17106,40000
17118,50753
17126,40000
17128,46832
17129,40000
17141,44827
17154,40000
17157,42856
17160,49824
17161,44389
17162,53213
17164,42839
17170,77057
17172,62280
17174,56858
17176,40000
17179,42835
17180,51017
17188,47234
17193,68342
17200,68977
17201,51743
17203,48168
17211,40000
17214,70041
17215,47977
17217,40000
17226,64309
17231,51746
17234,59650
17240,40000
17242,50518
17245,81426
17246,40000
17247,40000
17252,40000
17256,86773
17265,40000
17268,49079
17271,40000
17274,40000
17286,40000
17288,44761
17295,58992
17304,51241
17312,56250
17318,55613
17323,58207
17329,58239
17334,70117
17338,40000
17342,60308
17343,55057
17344,75367
17345,40000
17347,56710
17352,71029
17353,72201
17355,40000
17357,50305
17360,40000
17364,40000
17372,50227
17377,68008
17380,40000
17385,66547
17386,40000
17387,49554
17389,40000
17391,60230
17392,46368
17394,53200
17402,40000
17406,67263
17414,40000
17415,54112
17419,40000
17423,78956
17430,40000
17442,40000
17449,51943
17466,40000
17472,40000
17477,45476
17480,40000
17483,56090
17484,60855
17485,81469
17488,63543
17496,47910
17502,40000
17504,41965
17512,40000
17513,79165
17520,40000
17522,41832
17525,40000
17528,73076
17529,43008
17532,91343
17539,60576
17541,40000
17546,40000
17548,64350
17550,40000
17551,74590
17553,78172
17554,40000
17559,53573
17566,61155
17568,45495
17580,49180
17581,40000
17582,44397
17588,56584
17590,40516
17593,40000
17596,55560
17597,63294
17599,66203
17603,43117
17604,40353
17612,40000
17613,40000
17617,43964
17618,40000
17629,70592
17631,40000
17636,59178
17639,46442
17641,73017
17647,75896
17648,40000
17649,76040
17653,82008
17663,59823
17667,40000
17668,63753
17674,43044
17679,65525
17682,61134
17683,54891
17685,40000
17693,56494
17697,40000
17700,86991
17709,53762
17711,49277
17715,40000
17716,40000
17722,40000
17723,79795
17724,67537
17725,68337
17726,43982
17728,57162
17729,58724
17730,40000
17731,68972
17734,66437
17736,40000
17737,40000
17739,53067
17752,40000
17756,57748
17757,68843
17760,44218
17762,40000
17764,40000
17767,89529
17772,55988
17777,58810
17779,40000
17782,53853
17789,53047
17791,46451
17793,40000
17798,83096
17799,72593
17800,43968
17803,57485
17804,40000
17810,44685
17811,40000
17812,40000
17816,74497
17820,65530
17822,55327
17823,84978
17824,40000
17825,43397
17826,50924
17828,40000
17829,77734
17831,41831
17832,85110
17833,40000
17850,40000
17853,40000
17854,77064
17857,49757
17860,40000
17863,88705
17864,88947
17865,40000
17871,48561
17872,49896
17877,40000
17878,63108
17891,44505
17901,40000
17904,84570
17907,69291
17908,40000
17910,67700
17913,40000
17914,79116
17921,61589
17925,47958
17929,66561
17930,83077
17932,65751
17933,40000
17935,46636
17938,87164
17939,57603
17941,40000
17949,40000
17961,96208
17964,40000
17969,75746
17975,40000
17976,40000
17984,40125
17985,40000
17987,80776
17989,40000
17990,44159
17992,84412
17998,46443
18006,108512
18009,40292
18012,90311
18013,40000
18014,60973
18015,60245
18022,40000
18036,42539
18041,65072
18043,43375
18045,61937
18048,43809
18051,40000
18058,73520
18059,48228
18060,62560
18067,40000
18071,40000
18077,61181
18091,77763
18092,52019
18104,51084
18106,60846
18118,54511
18122,62058
18125,64901
18126,40000
18130,40000
18133,40000
18135,59507
18146,47428
18150,69401
18153,40000
18154,47922
18160,47586
18161,55533
18180,64478
18182,52180
18183,69834
18186,40000
18188,44560
18194,74083
18195,40000
18197,40000
18198,40000
18208,70916
18211,55106
18212,40000
18213,44362
18215,58760
18216,40000
18218,58498
18223,48598
18228,56064
18237,40592
18238,67755
18240,40000
18241,48131
18246,85077
18247,47955
18251,58297
18254,42931
18262,60505
18274,63753
18278,58548
18281,67326
18282,40000
18285,40222
18286,77005
18288,40000
18296,40302
18298,45907
18302,90723
18305,40000
18306,91886
18313,40000
18315,65908
18321,61952
18323,40000
18324,50605
18329,40000
18330,40000
18331,40000
18332,46177
18338,53673
18340,42081
18344,40000
18347,40000
18351,40273
18353,77571
18354,65400
18358,44738
18361,80418
18368,60786
18371,49889
18376,50047
18377,40000
18378,77594
18380,40000
18383,68788
18389,40000
18396,51817
18402,45396
18403,43239
18404,52433
18406,49061
18408,44030
18409,40000
18412,90127
18416,49422
18425,85040
18426,79058
18427,65998
18430,70295
18431,52920
18432,40000
18433,40000
18450,59963
18451,67178
18462,40000
18465,56950
18466,40000
18468,40000
18471,44470
18473,66145
18493,40000
18500,40378
18510,69356
18514,79439
18517,40000
18521,61570
18522,68604
18530,56850
18532,52115
18535,46219
18541,40000
18544,53734
18547,40000
18551,40000
18552,52737
18557,78769
18560,41498
18563,53738
18564,40000
18568,53876
18583,40000
18585,40000
18586,84193
18591,78178
18606,53747
18617,40000
18619,40000
18625,61712
18631,41181
18643,56176
18644,64935
18646,40000
18648,40000
18651,40000
18654,40000
18656,61143
18659,85236
18663,62505
18665,50748
18667,62735
18673,40000
18679,80953
18684,70754
18687,40000
18689,55859
18695,40000
18697,61316
18702,56913
18707,62761
18709,49976
18715,40000
18722,47059
18737,62141
18738,40000
18739,89294
18741,49196
18744,61614
18746,72790
18749,73872
18754,40000
18756,58164
18758,45037
18764,40000
18772,67407
18775,62152
18786,40000
18787,50353
18791,40000
18793,52989
18796,52643
18804,67047
18805,47310
18808,54614
18814,77942
18815,87881
18817,40000
18820,59190
18826,40000
18827,44455
18828,40000
18831,41542
18832,61763
18842,47489
18843,103901
18846,40000
18852,40000
18853,40000
18855,40000
18857,40000
18866,56470
18869,87280
18870,76605
18881,66599
18885,72994
18889,40000
18890,43372
18896,40000
18897,40000
18901,47876
18905,40000
18907,42341
18911,40000
18912,60946
18915,43632
18921,73112
18924,49779
18931,40000
18937,40000
18951,40000
18952,45253
18955,60604
18956,65313
18959,41814
18962,47331
18963,71935
18964,42245
18966,40000
18967,63650
18969,41639
18973,41144
18976,44162
18978,42623
18980,56699
18990,40000
18991,40000
18995,40000
18997,112519
18999,45372
19005,61245
19007,40000
19012,56894
19023,40000
19026,85392
19027,46182
19028,61452
19034,53806
19035,45728
19040,40000
19047,47196
19050,40000
19051,70956
19053,40000
19054,40000
19059,61670
19060,59509
19067,60688
19072,40643
19075,44858
19083,40000
19089,64741
19090,43038
19092,55155
19093,50237
19095,40000
19096,63725
19097,40000
19099,40000
19100,83308
19109,46911
19112,96058
19118,54174
19120,49416
19123,40000
19126,40000
19130,46643
19132,40000
19137,92512
19138,80067
19141,40000
19144,101263
19146,76899
19148,40000
19156,40000
19161,54356
19162,40000
19164,48481
19167,40000
19170,40977
19176,60396
19180,55535
19188,40000
19194,40000
19203,40000
19208,60468
19211,62738
19212,41754
19214,60430
19221,55614
19223,70712
19226,44943
19227,45792
19229,63587
19230,54403
19236,67760
19237,40000
19243,58558
19248,83184
19251,40000
19262,40712
19273,44851
19274,52473
19279,74730
19284,75719
19288,40000
19289,59172
19290,68307
